Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Sousou no Frieren,Frieren: Beyond Journey's End,Frieren at the Funeral,TV,28.0,"Adventure, Drama, Fantasy",1.0,"Sep 29, 2023 to Mar 22, 2024","Crunchyroll, Netflix, Aniplus TV, Bahamut Anime Crazy, Bilibili Global, CatchPlay, MeWatch, Muse Asia, iQIYI",9.33
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",TV,64.0,"Action, Adventure, Drama, Fantasy",2.0,"Apr 5, 2009 to Jul 4, 2010",Crunchyroll,9.09
Steins;Gate,Steins;Gate,,TV,24.0,"Drama, Sci-Fi, Suspense",3.0,"Apr 6, 2011 to Sep 14, 2011","Crunchyroll, Netflix",9.07
Gintama°,Gintama Season 4,Gintama' (2015),TV,51.0,"Action, Comedy, Sci-Fi",4.0,"Apr 8, 2015 to Mar 30, 2016",Crunchyroll,9.06
Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,,TV,10.0,"Action, Drama, Suspense",5.0,"Apr 29, 2019 to Jul 1, 2019","Crunchyroll, Netflix, Shahid",9.05
Gintama: The Final,Gintama: The Very Final,,Movie,1.0,"Action, Comedy, Drama, Sci-Fi",6.0,"Jan 8, 2021","Crunchyroll, Shahid",9.04
Gintama',Gintama Season 2,Gintama (2011),TV,51.0,"Action, Comedy, Sci-Fi",7.0,"Apr 4, 2011 to Mar 26, 2012",Crunchyroll,9.03
Hunter x Hunter (2011),Hunter x Hunter,HxH (2011),TV,148.0,"Action, Adventure, Fantasy",8.0,"Oct 2, 2011 to Sep 24, 2014","Crunchyroll, Netflix, Shahid",9.03
Monogatari Series: Off & Monster Season,Monogatari Series: Off & Monster Season,"Orokamonogatari, Wazamonogatari, Nademonogatari, Musubimonogatari, Shinobumonogatari, Yoimonogatari, Amarimonogatari, Ougimonogatari, Shinomonogatari",ONA,,"Comedy, Mystery, Supernatural",9.0,"Jul 6, 2024 to ?",Crunchyroll,9.03
Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel",OVA,110.0,"Drama, Sci-Fi",10.0,"Jan 8, 1988 to Mar 17, 1997",,9.02
Gintama': Enchousen,Gintama: Enchousen,"Gintama' (2012), Gintama' Overdrive, Kintama",TV,13.0,"Action, Comedy, Sci-Fi",11.0,"Oct 4, 2012 to Mar 28, 2013",Crunchyroll,9.02
Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,Bleach: Thousand-Year Blood War Arc,TV,13.0,"Action, Adventure, Fantasy",12.0,"Oct 11, 2022 to Dec 27, 2022","Disney+, Bahamut Anime Crazy, Bilibili Global, Hulu, Shahid",9.01
Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season, Kaguya-sama: Love is War Season 3rd Season",TV,13.0,"Comedy, Romance",13.0,"Apr 9, 2022 to Jun 25, 2022","Crunchyroll, Animax Korea, Animax Mongolia, Bilibili Global, Laftel, iQIYI",9.00
Gintama.,Gintama Season 5,Gintama (2017),TV,12.0,"Action, Comedy, Sci-Fi",14.0,"Jan 9, 2017 to Mar 27, 2017",Crunchyroll,8.98
Fruits Basket: The Final,Fruits Basket: The Final Season,"Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba",TV,13.0,"Drama, Romance, Supernatural",15.0,"Apr 6, 2021 to Jun 29, 2021","Crunchyroll, Bahamut Anime Crazy, Starzplay, iQIYI",8.97
Clannad: After Story,Clannad: After Story,,TV,24.0,"Drama, Romance, Supernatural",16.0,"Oct 3, 2008 to Mar 27, 2009",Shahid,8.93
Gintama,Gintama,"Gin Tama, Silver Soul, Yorinuki Gintama-san",TV,201.0,"Action, Comedy, Sci-Fi",17.0,"Apr 4, 2006 to Mar 25, 2010","Crunchyroll, Netflix",8.93
Koe no Katachi,A Silent Voice,The Shape of Voice,Movie,1.0,"Award Winning, Drama",18.0,"Sep 17, 2016",Netflix,8.93
3-gatsu no Lion 2nd Season,March Comes In Like a Lion 2nd Season,Sangatsu no Lion Second Season,TV,22.0,,19.0,"Oct 14, 2017 to Mar 31, 2018","Crunchyroll, Netflix",8.91
Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,"Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season",TV,25.0,"Action, Award Winning, Drama, Sci-Fi",20.0,"Apr 6, 2008 to Sep 28, 2008","Crunchyroll, Netflix",8.91
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,"Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2",Movie,1.0,"Action, Comedy, Sci-Fi",21.0,"Jul 6, 2013",,8.90
Kusuriya no Hitorigoto,The Apothecary Diaries,"The Pharmacist's Monologue, Drugstore Soliloquy",TV,24.0,"Drama, Mystery",22.0,"Oct 22, 2023 to Mar 24, 2024","Crunchyroll, Netflix",8.89
Monster,Monster,,TV,74.0,"Drama, Mystery, Suspense",23.0,"Apr 7, 2004 to Sep 28, 2005",,8.88
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama.: Silver Soul Arc - Second Half War,Gintama.: Silver Soul Arc 2,TV,14.0,"Action, Comedy, Sci-Fi",24.0,"Jul 9, 2018 to Oct 8, 2018",Crunchyroll,8.88
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: Final Season - The Final Chapters,"Shingeki no Kyojin: The Final Season Part 3, Shingeki no Kyojin Season 4, Attack on Titan Season 4",TV Special,2.0,"Action, Drama, Suspense",25.0,"Mar 4, 2023 to Nov 5, 2023",,8.88
