2024-09-14 17:23:46 - INFO - Rank: 1, Title: Sousou no Frieren, Rating: 9.33, Episodes: 2, Type: TV , Aired: Sep 2023 - Mar 2024
2024-09-14 17:23:46 - INFO - Rank: 2, Title: Fullmetal Alchemist: Brotherhood, Rating: 9.09, Episodes: 6, Type: TV , Aired: Apr 2009 - Jul 2010
2024-09-14 17:23:46 - INFO - Rank: 3, Title: Steins;Gate, Rating: 9.07, Episodes: 2, Type: TV , Aired: Apr 2011 - Sep 2011
2024-09-14 17:23:46 - INFO - Rank: 4, Title: Gintama°, Rating: 9.06, Episodes: 5, Type: TV , Aired: Apr 2015 - Mar 2016
2024-09-14 17:23:46 - INFO - Rank: 5, Title: Shingeki no Kyojin Season 3 Part 2, Rating: 9.05, Episodes: 1, Type: TV , Aired: Apr 2019 - Jul 2019
2024-09-14 17:23:46 - INFO - Rank: 6, Title: Gintama: The Final, Rating: 9.04, Episodes: 1, Type: Movie , Aired: Jan 2021 - Jan 2021
2024-09-14 17:23:46 - INFO - Rank: 7, Title: Gintama', Rating: 9.03, Episodes: 5, Type: TV , Aired: Apr 2011 - Mar 2012
2024-09-14 17:23:46 - INFO - Rank: 8, Title: Hunter x Hunter (2011), Rating: 9.03, Episodes: 1, Type: TV , Aired: Oct 2011 - Sep 2014
2024-09-14 17:23:46 - INFO - Rank: 9, Title: Ginga Eiyuu Densetsu, Rating: 9.02, Episodes: 1, Type: OVA , Aired: Jan 1988 - Mar 1997
2024-09-14 17:23:46 - INFO - Rank: 10, Title: Gintama': Enchousen, Rating: 9.02, Episodes: 1, Type: TV , Aired: Oct 2012 - Mar 2013
2024-09-14 17:23:46 - INFO - Rank: 11, Title: Monogatari Series: Off & Monster Season, Rating: 9.02, Episodes: ?, Type: ONA , Aired: Jul 2024 -
2024-09-14 17:23:46 - INFO - Rank: 12, Title: Bleach: Sennen Kessen-hen, Rating: 9.01, Episodes: 1, Type: TV , Aired: Oct 2022 - Dec 2022
2024-09-14 17:23:46 - INFO - Rank: 13, Title: Kaguya-sama wa Kokurasetai: Ultra Romantic, Rating: 9.00, Episodes: 1, Type: TV , Aired: Apr 2022 - Jun 2022
2024-09-14 17:23:46 - INFO - Rank: 14, Title: Gintama., Rating: 8.98, Episodes: 1, Type: TV , Aired: Jan 2017 - Mar 2017
2024-09-14 17:23:46 - INFO - Rank: 15, Title: Fruits Basket: The Final, Rating: 8.97, Episodes: 1, Type: TV , Aired: Apr 2021 - Jun 2021
2024-09-14 17:23:46 - INFO - Rank: 16, Title: Clannad: After Story, Rating: 8.93, Episodes: 2, Type: TV , Aired: Oct 2008 - Mar 2009
2024-09-14 17:23:46 - INFO - Rank: 17, Title: Gintama, Rating: 8.93, Episodes: 2, Type: TV , Aired: Apr 2006 - Mar 2010
2024-09-14 17:23:46 - INFO - Rank: 18, Title: Koe no Katachi, Rating: 8.93, Episodes: 1, Type: Movie , Aired: Sep 2016 - Sep 2016
2024-09-14 17:23:46 - INFO - Rank: 19, Title: 3-gatsu no Lion 2nd Season, Rating: 8.91, Episodes: 2, Type: TV , Aired: Oct 2017 - Mar 2018
2024-09-14 17:23:46 - INFO - Rank: 20, Title: Code Geass: Hangyaku no Lelouch R2, Rating: 8.91, Episodes: 2, Type: TV , Aired: Apr 2008 - Sep 2008
2024-09-14 17:23:46 - INFO - Rank: 21, Title: Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare, Rating: 8.90, Episodes: 1, Type: Movie , Aired: Jul 2013 - Jul 2013
2024-09-14 17:23:46 - INFO - Rank: 22, Title: Kusuriya no Hitorigoto, Rating: 8.89, Episodes: 2, Type: TV , Aired: Oct 2023 - Mar 2024
2024-09-14 17:23:46 - INFO - Rank: 23, Title: Monster, Rating: 8.88, Episodes: 7, Type: TV , Aired: Apr 2004 - Sep 2005
2024-09-14 17:23:46 - INFO - Rank: 24, Title: Gintama.: Shirogane no Tamashii-hen - Kouhan-sen, Rating: 8.88, Episodes: 1, Type: TV , Aired: Jul 2018 - Oct 2018
2024-09-14 17:23:46 - INFO - Rank: 25, Title: Shingeki no Kyojin: The Final Season - Kanketsu-hen, Rating: 8.88, Episodes: Special, Type: TV , Aired: Mar 2023 - Nov 2023
2024-09-14 17:23:46 - INFO - Rank: 26, Title: Owarimonogatari 2nd Season, Rating: 8.87, Episodes: Special, Type: TV , Aired: Aug 2017 - Aug 2017
2024-09-14 17:23:46 - INFO - Rank: 27, Title: Violet Evergarden Movie, Rating: 8.86, Episodes: 1, Type: Movie , Aired: Sep 2020 - Sep 2020
2024-09-14 17:23:46 - INFO - Rank: 28, Title: Kimi no Na wa., Rating: 8.83, Episodes: 1, Type: Movie , Aired: Aug 2016 - Aug 2016
2024-09-14 17:23:46 - INFO - Rank: 29, Title: Kingdom 3rd Season, Rating: 8.82, Episodes: 2, Type: TV , Aired: Apr 2020 - Oct 2021
2024-09-14 17:23:46 - INFO - Rank: 30, Title: Vinland Saga Season 2, Rating: 8.81, Episodes: 2, Type: TV , Aired: Jan 2023 - Jun 2023
2024-09-14 17:23:46 - INFO - Rank: 31, Title: Boku no Kokoro no Yabai Yatsu 2nd Season, Rating: 8.81, Episodes: 1, Type: TV , Aired: Jan 2024 - Mar 2024
2024-09-14 17:23:46 - INFO - Rank: 32, Title: Gintama.: Shirogane no Tamashii-hen, Rating: 8.81, Episodes: 1, Type: TV , Aired: Jan 2018 - Mar 2018
2024-09-14 17:23:46 - INFO - Rank: 33, Title: Jujutsu Kaisen 2nd Season, Rating: 8.80, Episodes: 2, Type: TV , Aired: Jul 2023 - Dec 2023
2024-09-14 17:23:46 - INFO - Rank: 34, Title: Mob Psycho 100 II, Rating: 8.79, Episodes: 1, Type: TV , Aired: Jan 2019 - Apr 2019
2024-09-14 17:23:46 - INFO - Rank: 35, Title: Kizumonogatari III: Reiketsu-hen, Rating: 8.78, Episodes: 1, Type: Movie , Aired: Jan 2017 - Jan 2017
2024-09-14 17:23:46 - INFO - Rank: 36, Title: Shingeki no Kyojin: The Final Season, Rating: 8.78, Episodes: 1, Type: TV , Aired: Dec 2020 - Mar 2021
2024-09-14 17:23:46 - INFO - Rank: 37, Title: Bocchi the Rock!, Rating: 8.77, Episodes: 1, Type: TV , Aired: Oct 2022 - Dec 2022
2024-09-14 17:23:46 - INFO - Rank: 38, Title: Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou, Rating: 8.77, Episodes: 1, Type: TV , Aired: Oct 2016 - Dec 2016
2024-09-14 17:23:46 - INFO - Rank: 39, Title: Hajime no Ippo, Rating: 8.77, Episodes: 7, Type: TV , Aired: Oct 2000 - Mar 2002
